ID	Node1	Node2	Length	Diameter	Roughness	MinorLoss	Status
LINK-0	JUNCTION-0	JUNCTION-3682	242.200000	6.000000	140	0.000000	Open	
LINK-1	JUNCTION-3130	JUNCTION-3238	618.400000	8.000000	140	0.000000	Open	
LINK-2	JUNCTION-12389	JUNCTION-1718	439.200000	12.000000	140	0.000000	Open	
LINK-3	JUNCTION-1691	JUNCTION-1704	410.400000	6.000000	140	0.000000	Open	
LINK-4	JUNCTION-11726	JUNCTION-11642	578.700000	6.000000	140	0.000000	Open	
LINK-5	JUNCTION-11725	JUNCTION-11744	35.400000	8.000000	140	0.000000	Open	
LINK-6	JUNCTION-11643	JUNCTION-11770	157.600000	2.000000	140	0.000000	Open	
LINK-7	JUNCTION-11736	JUNCTION-11726	543.200000	8.000000	140	0.000000	Open	
LINK-8	JUNCTION-11732	JUNCTION-11484	440.700000	8.000000	140	0.000000	Open	
LINK-9	JUNCTION-11736	JUNCTION-11486	71.000000	8.000000	140	0.000000	Open	
LINK-10	JUNCTION-11486	JUNCTION-11758	323.200000	8.000000	140	0.000000	Open	
LINK-11	JUNCTION-11484	JUNCTION-11771	279.000000	8.000000	140	0.000000	Open	
LINK-12	JUNCTION-11771	JUNCTION-11769	287.200000	8.000000	140	0.000000	Open	
LINK-13	JUNCTION-11769	JUNCTION-9396	470.900000	6.000000	140	0.000000	Open	
LINK-14	JUNCTION-1705	JUNCTION-8438	325.600000	4.000000	140	0.000000	Open	
LINK-15	JUNCTION-11767	JUNCTION-11764	442.400000	6.000000	140	0.000000	Open	
LINK-16	JUNCTION-11765	JUNCTION-11772	801.100000	42.000000	140	0.000000	Open	
LINK-17	JUNCTION-11773	JUNCTION-11378	782.400000	6.000000	140	0.000000	Open	
LINK-18	JUNCTION-11774	JUNCTION-11357	642.800000	6.000000	140	0.000000	Open	
LINK-19	JUNCTION-11378	JUNCTION-11357	1009.800000	6.000000	140	0.000000	Open	
LINK-20	JUNCTION-11315	JUNCTION-11773	157.200000	6.000000	140	0.000000	Open	
LINK-21	JUNCTION-11775	JUNCTION-11315	613.500000	6.000000	140	0.000000	Open	
LINK-22	JUNCTION-11776	JUNCTION-11777	681.700000	4.000000	140	0.000000	Open	
LINK-23	JUNCTION-11778	JUNCTION-11780	642.000000	4.000000	140	0.000000	Open	
LINK-24	JUNCTION-11781	JUNCTION-11782	644.800000	4.000000	140	0.000000	Open	
LINK-25	JUNCTION-1552	JUNCTION-8404	100.400000	6.000000	140	0.000000	Open	
LINK-26	JUNCTION-11777	JUNCTION-11774	502.700000	6.000000	140	0.000000	Open	
LINK-27	JUNCTION-11783	JUNCTION-11784	1345.000000	42.000000	140	0.000000	Open	
LINK-28	JUNCTION-11774	JUNCTION-11782	319.000000	6.000000	140	0.000000	Open	
LINK-29	JUNCTION-11782	JUNCTION-11379	809.800000	6.000000	140	0.000000	Open	
LINK-30	JUNCTION-11785	JUNCTION-11786	1575.100000	42.000000	140	0.000000	Open	
LINK-31	JUNCTION-11772	JUNCTION-11785	1515.500000	42.000000	140	0.000000	Open	
