ID	Elev	Demand	Pattern
JUNCTION-0	35.507973	2.698230	PATTERN-1	
JUNCTION-1	30.0	0	PATTERN-1	
JUNCTION-2	47.460948999999999	0	PATTERN-1	
JUNCTION-3	68.614598000000001	0.764690	PATTERN-1	
JUNCTION-4	54.953991000000002	1.610050	PATTERN-1	
JUNCTION-5	47.5	3.422390	PATTERN-1	
JUNCTION-6	57.5	0.517490	PATTERN-1	
JUNCTION-7	48.340069999999997	1.050930	PATTERN-1	
JUNCTION-8	55.670732999999998	1.376360	PATTERN-1	
JUNCTION-9	52.5	3.980880	PATTERN-1	
JUNCTION-10	64.669939999999997	1.495030	PATTERN-1	
JUNCTION-11	67.864892999999995	1.198260	PATTERN-1	
JUNCTION-12	72.165920999999997	1.854230	PATTERN-1	
JUNCTION-13	55.968269999999997	0	PATTERN-1	
JUNCTION-14	40.0	1.557990	PATTERN-1	
JUNCTION-15	65.839155000000005	1.105490	PATTERN-1	
JUNCTION-16	70.637718000000007	1.248950	PATTERN-1	
JUNCTION-17	57.436489000000002	0.715410	PATTERN-1	
JUNCTION-18	53.907684000000003	0.756120	PATTERN-1	
JUNCTION-19	75.0	1.458210	PATTERN-1	
JUNCTION-20	70.117138999999995	0.664010	PATTERN-1	
JUNCTION-21	63.521161999999997	1.846190	PATTERN-1	
JUNCTION-22	75.0	2.153590	PATTERN-1	
JUNCTION-23	63.449807999999997	0.697790	PATTERN-1	
JUNCTION-24	71.758521999999999	0.983870	PATTERN-1	
JUNCTION-25	42.322583000000002	2.963250	PATTERN-1	
JUNCTION-26	67.512392000000006	1.797790	PATTERN-1	
JUNCTION-27	63.912132999999997	1.527300	PATTERN-1	
JUNCTION-28	72.604799999999997	2.135780	PATTERN-1	
JUNCTION-29	80.505735000000001	1.429080	PATTERN-1	
JUNCTION-30	82.921644999999998	1.295660	PATTERN-1	
JUNCTION-31	53.244145000000003	2.440100	PATTERN-1	
JUNCTION-32	48.079813000000001	3.871440	PATTERN-1	
JUNCTION-33	45.0	3.022640	PATTERN-1	
JUNCTION-34	51.526392000000001	1.904850	PATTERN-1	
JUNCTION-35	53.943232999999999	3.662680	PATTERN-1	
JUNCTION-36	48.887320000000003	1.794500	PATTERN-1	
JUNCTION-37	52.109127999999998	0.780680	PATTERN-1	
JUNCTION-38	45.703234000000002	1.916090	PATTERN-1	
JUNCTION-39	45.0	3.616750	PATTERN-1	
JUNCTION-40	42.286777000000001	1.684120	PATTERN-1	
JUNCTION-41	32.905602999999999	0.867110	PATTERN-1	
JUNCTION-42	35.0	2.142340	PATTERN-1	
JUNCTION-43	35.0	2.141910	PATTERN-1	
JUNCTION-44	49.154134999999997	1.563990	PATTERN-1	
JUNCTION-45	45.0	2.195460	PATTERN-1	
JUNCTION-46	50.703712000000003	1.404720	PATTERN-1	
JUNCTION-47	57.254179000000001	1.108360	PATTERN-1	
