GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
Id,Id2,Geography,Number; RACE - Total population,Percent; RACE - Total population,Number; RACE - Total population - One race,Percent; RACE - Total population - One race,Number; RACE - Total population - One race - White,Percent; RACE - Total population - One race - White,Number; RACE - Total population - One race - Black or African American,Percent; RACE - Total population - One race - Black or African American,Number; RACE - Total population - One race - American Indian and Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native,"Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified",Number; RACE - Total population - One race - Asian,Percent; RACE - Total population - One race - Asian,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Number; RACE - Total population - One race - Some Other Race,Percent; RACE - Total population - One race - Some Other Race,Number; RACE - Total population - Two or More Races,Percent; RACE - Total population - Two or More Races,Number; RACE - Total population - Two or More Races - Two races with Some Other Race,Percent; RACE - Total population - Two or More Races - Two races with Some Other Race,Number; RACE - Total population - Two or More Races - Two races without Some Other Race,Percent; RACE - Total population - Two or More Races - Two races without Some Other Race,Number; RACE - Total population - Two or More Races - Three or more races with Some Other Race,Percent; RACE - Total population - Two or More Races - Three or more races with Some Other Race,Number; RACE - Total population - Two or More Races - Three or more races without Some Other Race,Percent; RACE - Total population - Two or More Races - Three or more races without Some Other Race,Number; HISPANIC OR LATINO - Total population,Percent; HISPANIC OR LATINO - Total population,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [2],Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [2],Number; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population,Percent; RACE AND HISPANIC OR LATINO - Total population,Number; RACE AND HISPANIC OR LATINO - Total population - One race,Percent; RACE AND HISPANIC OR LATINO - Total population - One race,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Not Hispanic or Latino
1400000US17001000100,17001000100,"Census Tract 1, Adams County, Illinois",4627,100.0,4551,98.4,4412,95.4,62,1.3,7,0.2,6,0.1,0,0.0,0,0.0,1,0.0,45,1.0,1,0.0,24,0.5,76,1.6,7,0.2,66,1.4,0,0.0,3,0.1,4627,100.0,72,1.6,52,1.1,1,0.0,7,0.2,12,0.3,4555,98.4,4627,100.0,4551,98.4,64,1.4,4487,97.0,76,1.6,8,0.2,68,1.5
1400000US17001000201,17001000201,"Census Tract 2.01, Adams County, Illinois",1986,100.0,1950,98.2,1882,94.8,53,2.7,2,0.1,1,0.1,0,0.0,0,0.0,1,0.1,9,0.5,1,0.1,3,0.2,36,1.8,1,0.1,34,1.7,0,0.0,1,0.1,1986,100.0,18,0.9,13,0.7,0,0.0,0,0.0,5,0.3,1968,99.1,1986,100.0,1950,98.2,17,0.9,1933,97.3,36,1.8,1,0.1,35,1.8
1400000US17001000202,17001000202,"Census Tract 2.02, Adams County, Illinois",2999,100.0,2948,98.3,2688,89.6,215,7.2,9,0.3,9,0.3,0,0.0,0,0.0,0,0.0,14,0.5,1,0.0,21,0.7,51,1.7,2,0.1,48,1.6,0,0.0,1,0.0,2999,100.0,62,2.1,39,1.3,13,0.4,1,0.0,9,0.3,2937,97.9,2999,100.0,2948,98.3,58,1.9,2890,96.4,51,1.7,4,0.1,47,1.6
1400000US17001000400,17001000400,"Census Tract 4, Adams County, Illinois",4322,100.0,4146,95.9,3527,81.6,582,13.5,9,0.2,4,0.1,0,0.0,0,0.0,5,0.1,13,0.3,0,0.0,15,0.3,176,4.1,11,0.3,156,3.6,0,0.0,9,0.2,4322,100.0,78,1.8,44,1.0,16,0.4,1,0.0,17,0.4,4244,98.2,4322,100.0,4146,95.9,62,1.4,4084,94.5,176,4.1,16,0.4,160,3.7
1400000US17001000500,17001000500,"Census Tract 5, Adams County, Illinois",2337,100.0,2267,97.0,1872,80.1,380,16.3,5,0.2,4,0.2,0,0.0,0,0.0,1,0.0,6,0.3,1,0.0,3,0.1,70,3.0,0,0.0,62,2.7,1,0.0,7,0.3,2337,100.0,18,0.8,10,0.4,5,0.2,1,0.0,2,0.1,2319,99.2,2337,100.0,2267,97.0,12,0.5,2255,96.5,70,3.0,6,0.3,64,2.7
1400000US17001000600,17001000600,"Census Tract 6, Adams County, Illinois",3718,100.0,3648,98.1,3456,93.0,128,3.4,5,0.1,2,0.1,0,0.0,0,0.0,3,0.1,46,1.2,1,0.0,12,0.3,70,1.9,1,0.0,66,1.8,1,0.0,2,0.1,3718,100.0,44,1.2,23,0.6,2,0.1,1,0.0,18,0.5,3674,98.8,3718,100.0,3648,98.1,39,1.0,3609,97.1,70,1.9,5,0.1,65,1.7
1400000US17001000700,17001000700,"Census Tract 7, Adams County, Illinois",1481,100.0,1452,98.0,1278,86.3,153,10.3,5,0.3,4,0.3,0,0.0,0,0.0,1,0.1,9,0.6,0,0.0,7,0.5,29,2.0,2,0.1,27,1.8,0,0.0,0,0.0,1481,100.0,17,1.1,12,0.8,2,0.1,0,0.0,3,0.2,1464,98.9,1481,100.0,1452,98.0,16,1.1,1436,97.0,29,2.0,1,0.1,28,1.9
1400000US17001000800,17001000800,"Census Tract 8, Adams County, Illinois",2711,100.0,2555,94.2,2317,85.5,184,6.8,18,0.7,12,0.4,0,0.0,0,0.0,6,0.2,11,0.4,1,0.0,24,0.9,156,5.8,16,0.6,131,4.8,3,0.1,6,0.2,2711,100.0,55,2.0,35,1.3,9,0.3,1,0.0,10,0.4,2656,98.0,2711,100.0,2555,94.2,35,1.3,2520,93.0,156,5.8,20,0.7,136,5.0
1400000US17001000900,17001000900,"Census Tract 9, Adams County, Illinois",2573,100.0,2515,97.7,2381,92.5,102,4.0,5,0.2,5,0.2,0,0.0,0,0.0,0,0.0,14,0.5,0,0.0,13,0.5,58,2.3,3,0.1,53,2.1,0,0.0,2,0.1,2573,100.0,37,1.4,14,0.5,8,0.3,0,0.0,15,0.6,2536,98.6,2573,100.0,2515,97.7,31,1.2,2484,96.5,58,2.3,6,0.2,52,2.0
