rank,name,Enrollment 9-12,Student-Teacher Ratio,STEM Index,English Proficiency,Graduation Rate,Math Proficiency,College Readiness,long,lat
393,Clark Acad Prep Magnet High School,540,25.0,,5.0,97.9,1.0,6.796,41.872809,-87.752929
395,Urban Prep Chtr Acad Bronzeville High School,365,51.0,,14.0,86.2,4.0,8.988999999999999,41.83092,-87.613434
403,Roosevelt High School,1111,17.0,,9.0,80.5,11.0,19.622,41.965793,-87.714318
415,School of Social Justice High School,305,14.0,,5.0,93.0,5.0,23.592,41.835088,-87.734967
416,Schurz High School,1794,16.0,,9.0,91.2,8.0,15.878,41.9475,-87.735257
422,Uplift Community High School,298,13.0,,11.0,81.4,2.0,9.295,41.966036,-87.652178
425,Julian High School,625,16.0,,5.0,97.4,2.0,7.797000000000001,41.706194,-87.654238
430-647,Ace Technical Charter High School,378,,,5.0,69.3,5.0,7.25,41.769247,-87.690914
430-647,Bogan High School,774,16.0,,4.0,88.9,2.0,12.658,41.749201,-87.721587
430-647,Bowen High School,313,16.0,,0.0,85.7,0.0,14.458,41.734141,-87.557572
430-647,Chicago Excel Academy High School,245,,,0.0,28.8,0.0,0.0,41.692073,-87.653792
430-647,Chicago Virtual Charter School,168,24.0,,28.0,59.4,9.0,0.0,41.880874,-87.65003
430-647,Chicago Vocational Career Acad High School,902,17.0,,4.0,91.1,2.0,5.649,41.738352,-87.572864
430-647,Clemente Community Academy High School,733,17.0,,6.0,91.3,5.0,12.839,41.902659,-87.686415
430-647,Collins Academy High School,289,12.0,,0.0,84.9,0.0,0.0,41.864116,-87.701118
430-647,Corliss High School,369,14.0,,1.0,97.3,2.0,14.607000000000001,41.70669,-87.602746
430-647,Douglass Academy High School,167,13.0,,2.0,86.7,2.0,0.0,41.889978,-87.766666
430-647,Dunbar Vocational Career Acad High School,553,14.0,,1.0,96.1,0.0,3.9389999999999996,41.840497,-87.618181
430-647,Farragut Career Academy High School,810,17.0,,5.0,83.5,4.0,8.658,41.849599,-87.708168
430-647,Fenger Academy High School,226,17.0,,7.0,100.0,7.0,9.434,41.689755,-87.637829
121,Rickover Naval Academy High School,567,21.0,,23.0,97.1,16.0,40.714,41.95745,-87.770434
125,Chicago High School for the Arts,601,60.0,,37.0,94.6,24.0,34.107,41.899482,-87.695008
140,Prosser Career Academy High School,1376,17.0,,14.0,96.5,10.0,42.15,41.919429,-87.761845
143,Taft High School,2996,19.0,,35.0,94.4,28.0,33.49,41.984578,-87.7917
150,Chicago High School for Agricult Sciences,716,18.0,,49.0,93.8,34.0,12.147,41.690265,-87.717625
151,Carver Military Academy High School,500,24.0,,18.0,99.1,16.0,28.211,41.656237,-87.590129
161,Alcott Humanities High School,330,7.0,,24.0,94.9,20.0,26.866,41.935752,-87.68048
164,World Language High School,339,17.0,,13.0,97.3,1.0,57.792,41.835176,-87.735133
168,Mather High School,1471,16.0,,15.0,93.6,20.0,33.754,41.988096,-87.701242
171,Senn High School,1411,16.0,,30.0,89.6,25.0,23.516,41.98904,-87.666754
181,Crane Medical Prep High School,586,19.0,,21.0,98.3,15.0,17.6,41.877007,-87.68323
186,Kennedy High School,1649,16.0,,28.0,87.8,21.0,31.631999999999998,41.79039,-87.780252
191,Hubbard High School,1756,19.0,,17.0,97.4,14.0,33.96,41.780231,-87.718647
192,Disney Ii Magnet High School,487,12.0,,24.0,93.8,14.0,32.366,41.952279,-87.720476
195,South Shore Intl Col Prep High School,591,16.0,,19.0,99.2,8.0,19.259,41.758006,-87.576721
199,Lake View High School,1299,19.0,,20.0,92.0,19.0,26.741999999999997,41.9553,-87.668806
212,Epic Academy High School,499,48.0,,20.0,92.9,16.0,13.415,41.744885,-87.549696
217,Hancock College Preparatory High School,887,18.0,,17.0,93.7,12.0,32.96,41.791996,-87.724931
223,Chicago Academy High School,548,18.0,,24.0,92.8,23.0,15.89,41.943015,-87.776964
224,Curie Metropolitan High School,2937,17.0,,15.0,85.5,17.0,29.956999999999997,41.802267,-87.721659
430-647,Tilden Career Communty Academy High School,273,13.0,,2.0,75.8,2.0,0.0,41.807568,-87.642342
430-647,Urban Prep Chtr Acad West Campus High School,273,27.0,,8.0,96.2,2.0,5.903,41.862652,-87.660073
430-647,Voise Academy High School,300,19.0,,7.0,93.1,3.0,6.959,41.885036,-87.762482
430-647,Wells Community Academy High School,377,15.0,,3.0,96.4,2.0,20.732,41.899153,-87.668292
430-647,Foreman High School,841,15.0,,3.0,88.0,4.0,19.805,41.939701,-87.75305
430-647,Gage Park High School,306,15.0,,1.0,91.8,3.0,14.583,41.791097,-87.68945
430-647,Harlan Community Academy High School,474,17.0,,9.0,95.7,2.0,5.099,41.71836,-87.620875
430-647,Harper High School,165,11.0,,3.0,89.5,3.0,0.0,41.774985,-87.669641
430-647,Hirsch Metropolitan High Schoolool,145,18.0,,0.0,87.9,0.0,0.0,41.754007,-87.601897
430-647,Hope College Prep High School,137,12.0,,0.0,87.5,0.0,0.0,41.79352,-87.641325
430-647,Ijla Charter High School,130,65.0,,13.0,24.4,7.0,0.0,41.845643,-87.684182
430-647,Kelvyn Park High School,383,16.0,,8.0,73.5,5.0,18.694000000000003,41.927759,-87.736214
430-647,Legal Prep Academy Charter Hs,305,,,2.0,91.7,2.0,0.0,41.881831,-87.733774
430-647,Manley Career Academy High School,170,14.0,,3.0,91.8,3.0,17.453,41.870712,-87.6997
