,School ID,School Name,Network ,SQRP Total Points Earned,SY 2018-2019 SQRP Rating,SY 2018-2019 Accountability Status,PSAT09 Cohort Growth Percentile,Unnamed: 7,Unnamed: 8,Unnamed: 9,PSAT10 EBRW Annual Growth Percentile,Unnamed: 11,Unnamed: 12,Unnamed: 13,PSAT10 MATH Annual Growth Percentile,Unnamed: 15,Unnamed: 16,Unnamed: 17,SAT11 EBRW Annual Growth Percentile,Unnamed: 19,Unnamed: 20,Unnamed: 21,SAT11 MATH Annual Growth Percentile,Unnamed: 23,Unnamed: 24,Unnamed: 25,SAT11 Cohort Growth Percentile,Unnamed: 27,Unnamed: 28,Unnamed: 29,"SAT11 African-American
 Cohort Growth  Percentile ",Unnamed: 31,Unnamed: 32,Unnamed: 33,"SAT11 Hispanic
 Cohort Growth  Percentile ",Unnamed: 35,Unnamed: 36,Unnamed: 37,"SAT11 English Learner
 Cohort Growth  Percentile ",Unnamed: 39,Unnamed: 40,Unnamed: 41,"SAT11 Diverse Learner
 Cohort Growth  Percentile ",Unnamed: 43,Unnamed: 44,Unnamed: 45,Percent Meeting College Readiness Benchmarks,Unnamed: 47,Unnamed: 48,Unnamed: 49,Freshmen On-Track Rate,Unnamed: 51,Unnamed: 52,4-Year Cohort Graduation Rate,Unnamed: 54,Unnamed: 55,1-Year Dropout Rate,Unnamed: 57,Unnamed: 58,College Enrollment Rate,Unnamed: 60,Unnamed: 61,College Persistence Rate,Unnamed: 63,Unnamed: 64,% Earning Early College and Career Credentials,Unnamed: 66,Unnamed: 67,Average Daily Attendance Rate,Unnamed: 69,Unnamed: 70,"My Voice, My School 5 Essentials Survey ",Unnamed: 72,Unnamed: 73,Data Quality Index Score,Unnamed: 75,Unnamed: 76,National School Growth Percentile - Reading,National School Growth Percentile - Math,Percent of Students Meeting/Exceeding National Average Growth Norms,African-American Growth Percentile - Reading,Hispanic Growth Percentile - Reading,English Learner Growth Percentile - Reading,Diverse Learner Growth Percentile - Reading,African-American Growth Percentile - Math,Hispanic Growth Percentile - Math,English Learner Growth Percentile - Math,Diverse Learner Growth Percentile - Math,National School Attainment %ile - Reading (Grades 3-8),Unnamed: 53,National School Attainment %ile - Math (Grades 3-8),Unnamed: 56,National School Attainment %ile - Reading (Grade 2),Unnamed: 59,National School Attainment %ile - Math (Grade 2),Unnamed: 65,Average Daily Attendance Rate (Grades K-8),Unnamed: 68,"My Voice, My School 5 Essentials Survey",Unnamed: 71,Unnamed: 74,the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,long,lat,geometry
0,609693.0,WESTINGHOUSE HS,Network 15,4.0,Level 1+,Good Standing,73,99,4,3.33,91,97,5,1.67,7,97,1,1.67,31,100,2,1.67,50,100,3,1.67,35,100,2,15,20,100,2,2.5,57,100,4,2.5,,,,,,,,,73.1,99,4,10,98.2,5,10,94,5,10,0.2,5,5,90.5,5,5,78.5,4,5,53.2,5,5,93.7,4,10,Well Organized,5,5,99.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.70733230830211 41.88997720311543),609693,GEORGE WESTINGHOUSE HS,"3223 W Franklin Blvd, 60624",HS,"9, 10, 11, 12",District,-87.7073323085,41.8899772037,POINT (-87.7073323085 41.8899772037)
1,609694.0,HANCOCK HS,Network 15,4.1,Level 1+,Good Standing,89,100,4,3.33,72,100,4,1.67,16,100,2,1.67,31,100,2,1.67,19,100,2,1.67,49,100,3,17.5,,,,,50,100,4,2.5,,,,,,,,,82.2,100,5,10,98,5,10,83.7,4,10,0.5,5,5,81,5,5,66.4,3,5,37.1,4,5,92.9,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.7244704643747 41.79146390854953),609694,HANCOCK HS,"4034 W 56th St, 60629",HS,"9, 10, 11, 12",District,-87.72447046479999,41.7914639094,POINT (-87.72447046479999 41.7914639094)
2,609737.0,VON STEUBEN HS,Network 14,4.2,Level 1+,Good Standing,82,99,4,3.33,75,99,4,1.67,29,99,2,1.67,32,99,2,1.67,67,99,3,1.67,49,99,3,15,10,100,2,2.5,52,100,4,2.5,,,,,,,,,66.7,99,4,10,93.1,5,10,87.8,5,10,0.1,5,5,80.3,5,5,82.7,4,5,68.7,5,5,94.2,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.71338625328654 41.97318504807329),609737,VON STEUBEN HS,"5039 N Kimball Ave, 60625",HS,"9, 10, 11, 12",District,-87.7133862533,41.9731850486,POINT (-87.7133862533 41.9731850486)
3,609760.0,CARVER MILITARY HS,Network 17,4.0,Level 1+,Good Standing,48,96,3,3.33,81,100,4,1.67,50,100,3,1.67,50,98,3,1.67,63,98,3,1.67,41,98,3,15,24,98,2,2.5,53,100,4,2.5,,,,,,,,,40,98,3,10,93.2,5,10,96.2,5,10,0.8,5,5,67.6,4,5,69.7,3,5,66.7,5,5,92.5,4,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.59062038515513 41.65628995142258),609760,CARVER MILITARY,"13100 S Doty Ave, 60627",HS,"9, 10, 11, 12",District,-87.59062038489999,41.6562899518,POINT (-87.59062038489999 41.6562899518)
4,610392.0,WORLD LANGUAGE HS,Network 15,4.1,Level 1+,Good Standing,83,100,4,3.33,95,99,5,1.67,50,99,3,1.67,50,100,3,1.67,36,100,2,1.67,83,100,4,17.5,,,,,81,100,5,2.5,,,,,,,,,28.1,100,2,10,93.5,5,10,75.4,4,10,1.8,5,5,77,5,5,71.2,3,5,70.4,5,5,92.4,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.73529221730786 41.83439661641913),610392,WORLD LANGUAGE HS,"3120 S Kostner Ave, 60623",HS,"9, 10, 11, 12",District,-87.7352922169,41.8343966176,POINT (-87.73529221690001 41.8343966176)
5,609779.0,ARMSTRONG G,Network 2,4.6,Level 1+,Good Standing,,100,4,15,,100,5,15,,100,4,10,,100,5,1.25,,100,5,1.25,,100,5,1.25,,100,5,1.25,,100,5,1.25,,100,5,1.25,,100,5,1.25,,100,4,1.25,,100,4,,,100,,5,,,4,2.5,,100,4,,,5,,,5,,,5,99.7,,,86,91,68.9,82,83,97,87,86,87,97,52,79,5,88,4,82,100,89,2.5,96.2,20,Well Organized,10,5,POINT (-87.6844418273605 42.01014998373587),609779,"ARMSTRONG, G","2110 W Greenleaf Ave, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68444182719999,42.0101499844,POINT (-87.68444182719999 42.0101499844)
6,609782.0,AUDUBON,Network 4,4.4,Level 1+,Good Standing,,100,4,18.75,,100,4,18.75,,100,4,10,,,,,,100,5,1.25,,,,,,,,,,,,,,100,4,1.25,,,,,,,,,,100,5,,,100,,5,,,5,2.5,,100,4,,,5,,,5,,,5,99.4,,,76,75,64.5,,76,,,,58,,,94,5,87,4,95,100,86,2.5,96.2,20,Well Organized,10,5,POINT (-87.68104105313787 41.94506222430422),609782,AUDUBON,"3500 N Hoyne Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68104105329999,41.945062225,POINT (-87.68104105329999 41.945062225)
7,609792.0,BATEMAN,Network 1,4.3,Level 1+,Good Standing,,100,4,16.25,,100,4,16.25,,100,4,10,,,,,,100,5,1.25,,100,5,1.25,,100,4,1.25,,,,,,100,5,1.25,,100,5,1.25,,100,5,1.25,,100,4,,,100,,5,,,3,2.5,,100,3,,,5,,,5,,,5,99.9,,,71,85,61.1,,71,97,64,,83,91,94,72,5,67,3,56,100,48,2.5,96.4,20,Well Organized,10,5,POINT (-87.70215096179008 41.95821983888024),609792,BATEMAN,"4220 N Richmond St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7021509622,41.9582198394,POINT (-87.70215096219999 41.9582198394)
8,609794.0,EDISON,Network 1,4.2,Level 1+,Good Standing,,100,3,20,,100,4,20,,100,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,5,,,100,,5,,,5,2.5,,100,5,,,5,,,4,,,5,100,,,54,73,64.9,,,,,,,,,99,5,99,5,99,100,99,2.5,96.8,20,Organized,10,5,POINT (-87.70930366577336 41.97150609649997),609794,"EDISON, T","4929 N Sawyer Ave, 60625",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.709303666,41.971506096999995,POINT (-87.709303666 41.971506097)
9,609796.0,BEAUBIEN,Network 1,4.1,Level 1+,Good Standing,,100,3,16.25,,100,4,16.25,,100,4,10,,,,,,100,4,1.25,,100,4,1.25,,100,3,1.25,,,,,,100,5,1.25,,100,4,1.25,,100,4,1.25,,100,5,,,100,,5,,,5,2.5,,100,5,,,4,,,5,,,5,99.7,,,58,85,65.2,,62,54,48,,78,69,52,96,5,97,5,97,100,97,2.5,95.4,20,Well Organized,10,5,POINT (-87.75756503918218 41.97239394466906),609796,BEAUBIEN,"5025 N Laramie Ave, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.75756503950001,41.9723939452,POINT (-87.75756503950001 41.9723939452)
